 ;Total;
 ;Price;Volume
Time;USD;BTC
09.04.2013 00:00;285.882972795;31348.2816785
10.04.2013 00:00;619.362303551;85527.9394114
11.04.2013 00:00;568.146722438;115069.773821
12.04.2013 00:00;517.949908777;119949.278205
13.04.2013 00:00;555.557845421;62897.5290591
14.04.2013 00:00;95.1891655309;28642.7535945
15.04.2013 00:00;460.945192434;63695.7172433
16.04.2013 00:00;368.401137837;125042.521085
17.04.2013 00:00;496.884382607;87508.947046
18.04.2013 00:00;306.978299085;49331.0131819
19.04.2013 00:00;756.0;78787.0125284
20.04.2013 00:00;729.730820217;22170.9288018
21.04.2013 00:00;274.035715001;54519.8882451
22.04.2013 00:00;720.749672782;20453.8166101
23.04.2013 00:00;782.332575757;38111.4023411
24.04.2013 00:00;747.090219247;70249.5513618
25.04.2013 00:00;140.975751333;49615.4437513
26.04.2013 00:00;133.919345946;40796.9643897
27.04.2013 00:00;796.0;19727.2321067
28.04.2013 00:00;135.28403123;12705.05697
29.04.2013 00:00;135.401345263;27827.7983781
30.04.2013 00:00;138.424549777;22093.8954798
01.05.2013 00:00;116.75;55970.7941002
02.05.2013 00:00;106.869452902;69729.6942407
03.05.2013 00:00;98.7965862478;75653.0574655
04.05.2013 00:00;112.751903156;51939.0384393
05.05.2013 00:00;115.01;27897.3554041
06.05.2013 00:00;463.846925185;43431.5438603
07.05.2013 00:00;110.873333333;47009.5038624
08.05.2013 00:00;109.100497419;20884.9574541
09.05.2013 00:00;111.96;14037.9333449
10.05.2013 00:00;212.4353012;28420.551401
11.05.2013 00:00;112.386777775;10030.1130736
12.05.2013 00:00;111.20187481;8726.07263705
13.05.2013 00:00;115.98;10093.4414237
14.05.2013 00:00;324.2947649;22947.6252124
15.05.2013 00:00;108.372152144;31183.6578431
16.05.2013 00:00;112.479619957;14805.6372369
17.05.2013 00:00;594.691961407;22653.2013869
18.05.2013 00:00;117.144955451;10136.9722702
19.05.2013 00:00;117.27;10173.6768572
20.05.2013 00:00;665.459567918;9040.74796575
21.05.2013 00:00;117.25;9091.87962624
22.05.2013 00:00;212.761821691;14057.5643683
23.05.2013 00:00;123.84;17131.8901129
24.05.2013 00:00;169.862058923;25791.8951966
25.05.2013 00:00;128.778181337;11871.6567366
26.05.2013 00:00;129.97123557;10249.7032486
27.05.2013 00:00;598.036247806;15590.3654136
28.05.2013 00:00;447.23865174;13521.5808
29.05.2013 00:00;434.271800414;15149.0030601
30.05.2013 00:00;126.5;15394.3270144
31.05.2013 00:00;170.667035747;9215.26263502
01.06.2013 00:00;127.78535356;6365.28868828
02.06.2013 00:00;123.35;29812.8094594
03.06.2013 00:00;302.092083011;17990.4876799
04.06.2013 00:00;119.769353465;15228.1557538
05.06.2013 00:00;120.501301118;9904.17976815
06.06.2013 00:00;118.313936826;8816.98399207
07.06.2013 00:00;110.916346232;34870.6275222
08.06.2013 00:00;109.11;13538.180788
09.06.2013 00:00;100.17;63093.3676866
10.06.2013 00:00;104.21;26557.3900449
11.06.2013 00:00;107.3449867;10951.4163138
12.06.2013 00:00;107.498008424;13499.1732784
13.06.2013 00:00;101.86;16284.6038295
14.06.2013 00:00;638.21;20086.859606
15.06.2013 00:00;100.51;10944.3325453
16.06.2013 00:00;99.4768674614;6308.90535384
17.06.2013 00:00;102.18602993;8383.60109972
18.06.2013 00:00;104.88513973;23543.5496038
19.06.2013 00:00;572.064197771;12050.2002792
20.06.2013 00:00;103.0;17448.7016877
21.06.2013 00:00;162.211831057;23418.3568326
22.06.2013 00:00;100.0;10304.8404566
23.06.2013 00:00;100.4;8353.92117546
24.06.2013 00:00;97.7220162605;24169.4951039
25.06.2013 00:00;97.5776160496;12742.7253427
26.06.2013 00:00;97.999;8526.57468582
27.06.2013 00:00;613.9;9026.66690577
28.06.2013 00:00;89.1976286425;30254.3902027
29.06.2013 00:00;89.466333687;10734.2612392
30.06.2013 00:00;90.207;7427.27389912
01.07.2013 00:00;82.4671592702;39055.1056961
02.07.2013 00:00;87.7877164918;22456.1431175
03.07.2013 00:00;410.865510204;36272.5494306
04.07.2013 00:00;79.7328814283;44020.7416953
05.07.2013 00:00;357.363333333;58959.3111189
06.07.2013 00:00;65.445714808;33590.4917237
07.07.2013 00:00;149.027423107;15885.5900521
08.07.2013 00:00;304.451723777;37715.6766081
09.07.2013 00:00;75.001182296;26567.3657637
10.07.2013 00:00;343.558333968;43490.8506388
11.07.2013 00:00;490.026927928;33476.5504252
12.07.2013 00:00;87.1980186689;60038.6728035
13.07.2013 00:00;107.012452148;18530.4893042
14.07.2013 00:00;271.266914536;11050.5708091
15.07.2013 00:00;91.3965663249;24259.3976077
16.07.2013 00:00;91.3819502298;18553.9370075
17.07.2013 00:00;278.001540492;14403.9266562
18.07.2013 00:00;85.0;39797.7525693
19.07.2013 00:00;535.0;16562.6274373
20.07.2013 00:00;83.98;8107.22869255
21.07.2013 00:00;85.5027308374;8037.59373244
22.07.2013 00:00;85.5346525559;12560.1679308
23.07.2013 00:00;86.88;21757.4213204
24.07.2013 00:00;88.4080582722;13963.717499
25.07.2013 00:00;89.9403553583;17039.0584578
26.07.2013 00:00;89.97;12714.9724666
27.07.2013 00:00;88.16;9532.8599597
28.07.2013 00:00;458.290981279;14850.7429971
29.07.2013 00:00;93.45;20503.9010842
30.07.2013 00:00;194.704281906;21111.5749911
31.07.2013 00:00;96.9848443;32631.9995537
01.08.2013 00:00;96.589227826;16132.8101986
02.08.2013 00:00;95.8997656297;25270.7514529
03.08.2013 00:00;94.743;9651.82824122
04.08.2013 00:00;96.38;6132.12483919
05.08.2013 00:00;96.464;16404.4223726
06.08.2013 00:00;97.720934925;14987.0006938
07.08.2013 00:00;97.1212119094;12184.2840693
08.08.2013 00:00;94.2424990963;23107.1367412
09.08.2013 00:00;93.821;15912.0253939
10.08.2013 00:00;92.941;6509.88034289
11.08.2013 00:00;92.652149944;6418.45047006
12.08.2013 00:00;95.3668543046;12229.1519057
13.08.2013 00:00;97.8772142792;18338.0196444
14.08.2013 00:00;97.605;27247.1826376
15.08.2013 00:00;96.298;16147.6927067
16.08.2013 00:00;96.586695952;13564.7192349
17.08.2013 00:00;99.71;8983.16580441
18.08.2013 00:00;99.3;6886.13381595
19.08.2013 00:00;100.859448196;31450.7959087
20.08.2013 00:00;103.1;18105.0524916
21.08.2013 00:00;107.13283461;35131.0152135
22.08.2013 00:00;109.169600615;21293.9530726
23.08.2013 00:00;621.266140351;18360.6664551
24.08.2013 00:00;109.15;7999.62061788
25.08.2013 00:00;109.3;15938.0102442
26.08.2013 00:00;111.85;15970.7083198
27.08.2013 00:00;117.68609647;31687.4201386
28.08.2013 00:00;115.20739823;17429.8274438
29.08.2013 00:00;118.91;14123.2428913
30.08.2013 00:00;121.232;27179.1622748
31.08.2013 00:00;348.888202929;34281.1173123
01.09.2013 00:00;127.338655121;14990.9666757
02.09.2013 00:00;141.278856338;16746.294714
