Timestamp;Open;High;Low;Close;Volume (BTC);Volume (Currency);Weighted Price;
28.01.2015 17:05;253.95;253.95;253.95;253.95;1;253.95;253.95;
28.01.2015 17:06;253.01;253.39;253.01;253.39;6.09;1541.95;253.38;
28.01.2015 17:07;253.28;253.39;253.21;253.39;18.21;4610.63;253.24;
28.01.2015 17:08;253.31;253.31;252.29;253.22;21.82;5511.44;252.59;
28.01.2015 17:09;253.22;253.25;253.22;253.25;2.66;673.65;253.24;
28.01.2015 17:10;253;253;252.44;252.44;20.32;5130.88;252.53;
28.01.2015 17:11;252.98;253;252.3;253;0.96;243.51;252.79;
28.01.2015 17:12;252.98;252.98;252.98;252.98;0.32;79.94;252.98;
28.01.2015 17:13;252.98;252.98;252;252.96;52.35;13205.76;252.24;
28.01.2015 17:14;252.96;253.39;252.96;253.39;20.12;5091.07;253.01;
28.01.2015 17:15;253.06;253.06;252.98;253.02;2.78;704;253.04;
28.01.2015 17:16;253.02;253.04;253.02;253.02;13.24;3351.01;253.04;
28.01.2015 17:17;253.02;253.02;253.01;253.01;15.78;3992.35;253.01;
28.01.2015 17:18;253.02;253.02;253.02;253.02;6.59;1667.45;253.02;
28.01.2015 17:19;253;253;253;253;14.08;3562.99;253;
28.01.2015 17:20;253;253;253;253;24.67;6242.11;253;
28.01.2015 17:21;253;253.02;253;253.02;13.02;3293.05;253.02;
28.01.2015 17:22;252.99;253.36;252.01;253.36;20.29;5117.34;252.25;
28.01.2015 17:23;253.34;253.36;253;253.36;1.8;456.56;253.32;
28.01.2015 17:24;253.34;253.36;252;252;15.31;3870.13;252.73;
28.01.2015 17:25;253.36;253.36;252.02;253.29;2.47;626.67;253.33;
28.01.2015 17:26;253.36;253.36;253.36;253.36;5.17;1311.04;253.36;
28.01.2015 17:27;253.37;253.5;253.37;253.5;40.29;10209.83;253.43;
28.01.2015 17:28;253.5;253.93;253.38;253.39;8.22;2083.86;253.65;
28.01.2015 17:29;253.93;253.94;253.93;253.94;0.31;79.74;253.94;
28.01.2015 17:30;253.94;253.94;252.01;252.01;25.16;6377.09;253.49;
28.01.2015 17:31;253.53;253.53;253.53;253.53;0.4;101.41;253.53;
28.01.2015 17:32;253.85;253.94;253.85;253.94;4.4;1117.76;253.93;
28.01.2015 17:33;253.95;253.96;253.95;253.96;5.44;1381.53;253.96;
28.01.2015 17:34;253.96;253.99;253.85;253.9;30.22;7673.84;253.93;
28.01.2015 17:35;253.86;253.98;252.22;253.74;31.86;8088.09;253.87;
28.01.2015 17:36;0;0;0;0;0;0;0;
28.01.2015 17:37;252.55;253.73;252.55;253.73;0.14;35.69;253.56;
28.01.2015 17:38;253.74;253.74;253.74;253.74;0.05;12.69;253.74;
28.01.2015 17:39;0;0;0;0;0;0;0;
28.01.2015 17:40;253.73;253.73;253.73;253.73;0.11;26.98;253.73;
28.01.2015 17:41;253.74;253.74;252.94;253.74;2.65;672.01;253.56;
28.01.2015 17:42;253.76;253.76;253.76;253.76;0.38;96.42;253.76;
28.01.2015 17:43;253.97;253.98;253.97;253.98;2.42;614.62;253.98;
28.01.2015 17:44;253.98;253.98;253.98;253.98;3.71;941.32;253.98;
28.01.2015 17:45;253.98;253.99;253.98;253.99;41.46;10530.41;253.99;
