Date;CNY
15.11.13 0:00;6,0922
16.11.13 0:00;6,0922
17.11.13 0:00;6,0922
18.11.13 0:00;6,0921
19.11.13 0:00;6,093
20.11.13 0:00;6,0928
21.11.13 0:00;6,0929
22.11.13 0:00;6,0937
23.11.13 0:00;6,0937
24.11.13 0:00;6,0937
25.11.13 0:00;6,0926
26.11.13 0:00;6,0927
27.11.13 0:00;6,0924
28.11.13 0:00;6,0924
29.11.13 0:00;6,0932
30.11.13 0:00;6,0932
01.12.13 0:00;6,0932
02.12.13 0:00;6,093
03.12.13 0:00;6,0924
04.12.13 0:00;6,0916
05.12.13 0:00;6,0913
06.12.13 0:00;6,0817
07.12.13 0:00;6,0817
08.12.13 0:00;6,0817
09.12.13 0:00;6,0723
10.12.13 0:00;6,071
11.12.13 0:00;6,0717
12.12.13 0:00;6,0715
13.12.13 0:00;6,0713
14.12.13 0:00;6,0713
15.12.13 0:00;6,0713
16.12.13 0:00;6,0715
17.12.13 0:00;6,0711
18.12.13 0:00;6,0718
19.12.13 0:00;6,0713
20.12.13 0:00;6,0714
21.12.13 0:00;6,0714
22.12.13 0:00;6,0714
23.12.13 0:00;6,0702
24.12.13 0:00;6,0715
25.12.13 0:00;6,0715
26.12.13 0:00;6,0747
27.12.13 0:00;6,0686
28.12.13 0:00;6,0686
29.12.13 0:00;6,0686
30.12.13 0:00;6,0617
31.12.13 0:00;6,054
01.01.14 0:00;6,054
02.01.14 0:00;6,0507
03.01.14 0:00;6,0515
04.01.14 0:00;6,0515
05.01.14 0:00;6,0515
06.01.14 0:00;6,0526
07.01.14 0:00;6,0512
08.01.14 0:00;6,0512
09.01.14 0:00;6,055
10.01.14 0:00;6,0521
11.01.14 0:00;6,0521
12.01.14 0:00;6,0521
13.01.14 0:00;6,0433
14.01.14 0:00;6,0412
15.01.14 0:00;6,046
16.01.14 0:00;6,0557
17.01.14 0:00;6,0503
18.01.14 0:00;6,0503
19.01.14 0:00;6,0503
20.01.14 0:00;6,0527
21.01.14 0:00;6,0505
22.01.14 0:00;6,0513
23.01.14 0:00;6,0518
24.01.14 0:00;6,0488
25.01.14 0:00;6,0488
26.01.14 0:00;6,0488
27.01.14 0:00;6,048
28.01.14 0:00;6,0509
29.01.14 0:00;6,0556
30.01.14 0:00;6,061
31.01.14 0:00;6,061
01.02.14 0:00;6,061
02.02.14 0:00;6,061
03.02.14 0:00;6,061
04.02.14 0:00;6,061
05.02.14 0:00;6,061
06.02.14 0:00;6,061
07.02.14 0:00;6,0634
08.02.14 0:00;6,0634
09.02.14 0:00;6,0634
10.02.14 0:00;6,0594
11.02.14 0:00;6,0606
12.02.14 0:00;6,0624
13.02.14 0:00;6,0636
14.02.14 0:00;6,0669
15.02.14 0:00;6,0669
16.02.14 0:00;6,0669
17.02.14 0:00;6,064
18.02.14 0:00;6,0673
19.02.14 0:00;6,0764
20.02.14 0:00;6,0835
21.02.14 0:00;6,0915
22.02.14 0:00;6,0915
23.02.14 0:00;6,0915
24.02.14 0:00;6,0984
25.02.14 0:00;6,1245
26.02.14 0:00;6,1248
27.02.14 0:00;6,1284
28.02.14 0:00;6,145
01.03.14 0:00;6,145
02.03.14 0:00;6,145
03.03.14 0:00;6,1463
04.03.14 0:00;6,1435
05.03.14 0:00;6,1282
06.03.14 0:00;6,1185
07.03.14 0:00;6,126
08.03.14 0:00;6,126
09.03.14 0:00;6,126
10.03.14 0:00;6,1386
11.03.14 0:00;6,1402
12.03.14 0:00;6,145
13.03.14 0:00;6,1362
14.03.14 0:00;6,1502
15.03.14 0:00;6,1502
16.03.14 0:00;6,1502
17.03.14 0:00;6,1782
18.03.14 0:00;6,1921
19.03.14 0:00;6,1954
20.03.14 0:00;6,2275
21.03.14 0:00;6,225
22.03.14 0:00;6,225
23.03.14 0:00;6,225
24.03.14 0:00;6,1959
25.03.14 0:00;6,2017
26.03.14 0:00;6,2094
27.03.14 0:00;6,2128
28.03.14 0:00;6,2122
29.03.14 0:00;6,2122
30.03.14 0:00;6,2122
31.03.14 0:00;6,2172
01.04.14 0:00;6,2069
02.04.14 0:00;6,2057
03.04.14 0:00;6,2107
04.04.14 0:00;6,2123
05.04.14 0:00;6,2123
06.04.14 0:00;6,2123
07.04.14 0:00;6,2123
08.04.14 0:00;6,1968
09.04.14 0:00;6,2005
10.04.14 0:00;6,2126
11.04.14 0:00;6,2113
12.04.14 0:00;6,2113
13.04.14 0:00;6,2113
14.04.14 0:00;6,2191
15.04.14 0:00;6,222
16.04.14 0:00;6,2214
17.04.14 0:00;6,219
18.04.14 0:00;6,2242
19.04.14 0:00;6,2242
20.04.14 0:00;6,2242
21.04.14 0:00;6,2274
22.04.14 0:00;6,2376
23.04.14 0:00;6,2377
24.04.14 0:00;6,2489
25.04.14 0:00;6,2537
26.04.14 0:00;6,2537
27.04.14 0:00;6,2537
28.04.14 0:00;6,253
29.04.14 0:00;6,258
30.04.14 0:00;6,2593
01.05.14 0:00;6,2593
02.05.14 0:00;6,2593
03.05.14 0:00;6,2593
04.05.14 0:00;6,2593
05.05.14 0:00;6,2455
06.05.14 0:00;6,2257
07.05.14 0:00;6,2344
08.05.14 0:00;6,228
09.05.14 0:00;6,2276
10.05.14 0:00;6,2276
11.05.14 0:00;6,2276
12.05.14 0:00;6,2376
13.05.14 0:00;6,2291
14.05.14 0:00;6,2289
15.05.14 0:00;6,2307
16.05.14 0:00;6,2334
17.05.14 0:00;6,2334
18.05.14 0:00;6,2334
19.05.14 0:00;6,2374
20.05.14 0:00;6,2381
21.05.14 0:00;6,2338
22.05.14 0:00;6,235
23.05.14 0:00;6,2365
24.05.14 0:00;6,2365
25.05.14 0:00;6,2365
26.05.14 0:00;6,2394
27.05.14 0:00;6,2491
28.05.14 0:00;6,254
29.05.14 0:00;6,238
30.05.14 0:00;6,2479
31.05.14 0:00;6,2479
01.06.14 0:00;6,2479
02.06.14 0:00;6,2479
03.06.14 0:00;6,2546
04.06.14 0:00;6,2504
05.06.14 0:00;6,2568
06.06.14 0:00;6,2505
07.06.14 0:00;6,2505
08.06.14 0:00;6,2505
09.06.14 0:00;6,2403
10.06.14 0:00;6,2245
11.06.14 0:00;6,2281
12.06.14 0:00;6,2185
13.06.14 0:00;6,2095
14.06.14 0:00;6,2095
15.06.14 0:00;6,2095
16.06.14 0:00;6,227
17.06.14 0:00;6,2268
18.06.14 0:00;6,2314
19.06.14 0:00;6,2291
20.06.14 0:00;6,2245
21.06.14 0:00;6,2245
22.06.14 0:00;6,2245
23.06.14 0:00;6,2255
24.06.14 0:00;6,2311
25.06.14 0:00;6,2344
26.06.14 0:00;6,224
27.06.14 0:00;6,2185
28.06.14 0:00;6,2185
29.06.14 0:00;6,2185
30.06.14 0:00;6,2038
01.07.14 0:00;6,2
02.07.14 0:00;6,2106
03.07.14 0:00;6,212
04.07.14 0:00;6,2041
05.07.14 0:00;6,2041
06.07.14 0:00;6,2041
07.07.14 0:00;6,2038
08.07.14 0:00;6,2015
09.07.14 0:00;6,1999
10.07.14 0:00;6,2028
11.07.14 0:00;6,2035
12.07.14 0:00;6,2035
13.07.14 0:00;6,2035
14.07.14 0:00;6,206
15.07.14 0:00;6,208
16.07.14 0:00;6,204
17.07.14 0:00;6,2038
18.07.14 0:00;6,208
19.07.14 0:00;6,208
20.07.14 0:00;6,208
21.07.14 0:00;6,2093
22.07.14 0:00;6,203
23.07.14 0:00;6,1988
24.07.14 0:00;6,1947
25.07.14 0:00;6,1917
26.07.14 0:00;6,1917
27.07.14 0:00;6,1917
28.07.14 0:00;6,1875
29.07.14 0:00;6,1805
30.07.14 0:00;6,1715
31.07.14 0:00;6,174
01.08.14 0:00;6,1798
02.08.14 0:00;6,1798
03.08.14 0:00;6,1798
04.08.14 0:00;6,1785
05.08.14 0:00;6,1707
06.08.14 0:00;6,163
07.08.14 0:00;6,1621
08.08.14 0:00;6,1562
09.08.14 0:00;6,1562
10.08.14 0:00;6,1562
11.08.14 0:00;6,1534
12.08.14 0:00;6,158
13.08.14 0:00;6,1536
14.08.14 0:00;6,1525
15.08.14 0:00;6,1472
16.08.14 0:00;6,1472
17.08.14 0:00;6,1472
18.08.14 0:00;6,143
19.08.14 0:00;6,1413
20.08.14 0:00;6,14
21.08.14 0:00;6,1515
22.08.14 0:00;6,1515
23.08.14 0:00;6,1515
24.08.14 0:00;6,1515
25.08.14 0:00;6,1544
26.08.14 0:00;6,1525
27.08.14 0:00;6,1433
28.08.14 0:00;6,1428
29.08.14 0:00;6,1433
30.08.14 0:00;6,1433
31.08.14 0:00;6,1433
01.09.14 0:00;6,142
02.09.14 0:00;6,1482
03.09.14 0:00;6,141
04.09.14 0:00;6,1386
05.09.14 0:00;6,1405
06.09.14 0:00;6,1405
07.09.14 0:00;6,1405
08.09.14 0:00;6,1405
09.09.14 0:00;6,1364
10.09.14 0:00;6,1294
11.09.14 0:00;6,13
12.09.14 0:00;6,1347
13.09.14 0:00;6,1347
14.09.14 0:00;6,1347
15.09.14 0:00;6,142
16.09.14 0:00;6,1461
17.09.14 0:00;6,139
18.09.14 0:00;6,1405
19.09.14 0:00;6,141
20.09.14 0:00;6,141
21.09.14 0:00;6,141
22.09.14 0:00;6,1405
23.09.14 0:00;6,1378
24.09.14 0:00;6,1366
25.09.14 0:00;6,136
26.09.14 0:00;6,1271
27.09.14 0:00;6,1271
28.09.14 0:00;6,1271
29.09.14 0:00;6,15
30.09.14 0:00;6,1385
01.10.14 0:00;6,1385
02.10.14 0:00;6,1385
03.10.14 0:00;6,139
04.10.14 0:00;6,139
05.10.14 0:00;6,139
06.10.14 0:00;6,139
07.10.14 0:00;6,139
08.10.14 0:00;6,139
09.10.14 0:00;6,1302
10.10.14 0:00;6,1311
11.10.14 0:00;6,1311
12.10.14 0:00;6,1311
13.10.14 0:00;6,1255
14.10.14 0:00;6,1255
15.10.14 0:00;6,1259
16.10.14 0:00;6,1233
17.10.14 0:00;6,124
18.10.14 0:00;6,124
19.10.14 0:00;6,124
20.10.14 0:00;6,1235
21.10.14 0:00;6,121
22.10.14 0:00;6,1182
23.10.14 0:00;6,1195
24.10.14 0:00;6,117
25.10.14 0:00;6,117
26.10.14 0:00;6,117
27.10.14 0:00;6,1165
28.10.14 0:00;6,1133
29.10.14 0:00;6,1112
30.10.14 0:00;6,1145
31.10.14 0:00;6,1127
01.11.14 0:00;6,1127
02.11.14 0:00;6,1127
03.11.14 0:00;6,1183
04.11.14 0:00;6,1152
05.11.14 0:00;6,114
06.11.14 0:00;6,112
07.11.14 0:00;6,1227
08.11.14 0:00;6,1227
09.11.14 0:00;6,1227
10.11.14 0:00;6,1195
11.11.14 0:00;6,1245
12.11.14 0:00;6,1262
13.11.14 0:00;6,1248
14.11.14 0:00;6,1295
15.11.14 0:00;6,1295
16.11.14 0:00;6,1295
17.11.14 0:00;6,1243
18.11.14 0:00;6,1213
19.11.14 0:00;6,1195
20.11.14 0:00;6,1235
21.11.14 0:00;6,1249
22.11.14 0:00;6,1249
23.11.14 0:00;6,1249
24.11.14 0:00;6,1417
25.11.14 0:00;6,1365
26.11.14 0:00;6,1391
27.11.14 0:00;6,1391
28.11.14 0:00;6,1432
29.11.14 0:00;6,1432
30.11.14 0:00;6,1432
01.12.14 0:00;6,152
02.12.14 0:00;6,1495
03.12.14 0:00;6,1502
04.12.14 0:00;6,1546
05.12.14 0:00;6,1502
06.12.14 0:00;6,1502
07.12.14 0:00;6,1502
08.12.14 0:00;6,173
09.12.14 0:00;6,1878
10.12.14 0:00;6,1766
11.12.14 0:00;6,1886
12.12.14 0:00;6,1869
13.12.14 0:00;6,1869
14.12.14 0:00;6,1869
15.12.14 0:00;6,1905
16.12.14 0:00;6,1895
17.12.14 0:00;6,197
18.12.14 0:00;6,2145
19.12.14 0:00;6,2199
20.12.14 0:00;6,2199
21.12.14 0:00;6,2199
22.12.14 0:00;6,2216
23.12.14 0:00;6,2258
24.12.14 0:00;6,2153
25.12.14 0:00;6,197
26.12.14 0:00;6,2129
27.12.14 0:00;6,2129
28.12.14 0:00;6,2129
29.12.14 0:00;6,2225
30.12.14 0:00;6,202
31.12.14 0:00;6,2061
01.01.15 0:00;6,2061
02.01.15 0:00;6,2061
03.01.15 0:00;6,2061
04.01.15 0:00;6,2061
05.01.15 0:00;6,2206
06.01.15 0:00;6,213
07.01.15 0:00;6,2129
08.01.15 0:00;6,2146
09.01.15 0:00;6,2088
10.01.15 0:00;6,2088
11.01.15 0:00;6,2088
12.01.15 0:00;6,2032
13.01.15 0:00;6,1975
14.01.15 0:00;6,1959
15.01.15 0:00;6,1875
16.01.15 0:00;6,207
17.01.15 0:00;6,207
18.01.15 0:00;6,207
19.01.15 0:00;6,2195
20.01.15 0:00;6,214
21.01.15 0:00;6,2115
22.01.15 0:00;6,2088
23.01.15 0:00;6,2285
24.01.15 0:00;6,2285
25.01.15 0:00;6,2285
26.01.15 0:00;6,254
27.01.15 0:00;6,2435
28.01.15 0:00;6,248
29.01.15 0:00;6,2466
30.01.15 0:00;6,25
31.01.15 0:00;6,25
01.02.15 0:00;6,25
02.02.15 0:00;6,2597
03.02.15 0:00;6,2578
04.02.15 0:00;6,2477
05.02.15 0:00;6,2521
06.02.15 0:00;6,244
07.02.15 0:00;6,244
08.02.15 0:00;6,244
09.02.15 0:00;6,247
10.02.15 0:00;6,241
11.02.15 0:00;6,2427
12.02.15 0:00;6,2445
13.02.15 0:00;6,2403
14.02.15 0:00;6,2403
15.02.15 0:00;6,2403
16.02.15 0:00;6,2485
17.02.15 0:00;6,2551
18.02.15 0:00;6,2551
19.02.15 0:00;6,2551
20.02.15 0:00;6,2551
21.02.15 0:00;6,2551
22.02.15 0:00;6,2551
23.02.15 0:00;6,2551
24.02.15 0:00;6,2551
25.02.15 0:00;6,2593
26.02.15 0:00;6,2589
27.02.15 0:00;6,2696
28.02.15 0:00;6,2696
01.03.15 0:00;6,2696
02.03.15 0:00;6,2725
03.03.15 0:00;6,2744
04.03.15 0:00;6,2706
05.03.15 0:00;6,266
06.03.15 0:00;6,2625
07.03.15 0:00;6,2625
